,Country,Continent/Region,Year,Code,Expenditure,Regime
195,Azerbaijan,West Asia,2008,AZE,2.44092989,Electoral Autocracy
752,Cuba,North America,1980,CUB,8.36909008,Closed Autocracy
753,Cuba,North America,1991,CUB,7.14496994,Closed Autocracy
754,Cuba,North America,1993,CUB,7.074769974,Closed Autocracy
755,Cuba,North America,1994,CUB,5.619480133,Closed Autocracy
756,Cuba,North America,1998,CUB,6.208730221,Closed Autocracy
757,Cuba,North America,1999,CUB,6.755239964,Closed Autocracy
758,Cuba,North America,2000,CUB,7.704810143,Closed Autocracy
759,Cuba,North America,2001,CUB,8.358090401,Closed Autocracy
760,Cuba,North America,2002,CUB,9.571169853,Closed Autocracy
761,Cuba,North America,2003,CUB,9.940859795,Closed Autocracy
762,Cuba,North America,2004,CUB,10.26823044,Closed Autocracy
763,Cuba,North America,2005,CUB,10.55778027,Closed Autocracy
764,Cuba,North America,2006,CUB,9.057169914,Closed Autocracy
765,Cuba,North America,2007,CUB,11.86820984,Closed Autocracy
766,Cuba,North America,2008,CUB,14.05908012,Closed Autocracy
767,Cuba,North America,2009,CUB,13.12485981,Closed Autocracy
768,Cuba,North America,2010,CUB,12.83730984,Closed Autocracy
914,Ecuador,South America,1977,ECU,2.418839931,Closed Autocracy
105,Australia,Oceania,1978,AUS,6.008910179,Liberal Democracy
106,Australia,Oceania,1979,AUS,5.896930218,Liberal Democracy
107,Australia,Oceania,1980,AUS,5.654079914,Liberal Democracy
108,Australia,Oceania,1982,AUS,5.479750156,Liberal Democracy
109,Australia,Oceania,1983,AUS,5.372010231,Liberal Democracy
110,Australia,Oceania,1985,AUS,5.40542984,Liberal Democracy
111,Australia,Oceania,1986,AUS,5.280630112,Liberal Democracy
112,Australia,Oceania,1987,AUS,5.06994009,Liberal Democracy
18,Albania,South Europe,1995,ALB,3.814640045,Electoral Autocracy
19,Albania,South Europe,1996,ALB,3.083509922,Electoral Autocracy
20,Albania,South Europe,1997,ALB,3.37947011,Electoral Autocracy
1340,Haiti,North America,1981,HTI,1.393740058,Closed Autocracy
1341,Haiti,North America,1982,HTI,1.079540014,Closed Autocracy
1342,Haiti,North America,1983,HTI,1.022210002,Closed Autocracy
1343,Haiti,North America,1984,HTI,0.986190021,Closed Autocracy
1344,Haiti,North America,1985,HTI,0.9692900181,Closed Autocracy
1351,Honduras,Central America,1978,HND,2.019049883,Closed Autocracy
1352,Honduras,Central America,1979,HND,2.012989998,Closed Autocracy
1353,Honduras,Central America,1980,HND,1.936360002,Closed Autocracy
196,Azerbaijan,West Asia,2009,AZE,3.224309921,Electoral Autocracy
197,Azerbaijan,West Asia,2010,AZE,2.780620098,Electoral Autocracy
198,Azerbaijan,West Asia,2011,AZE,2.435640097,Electoral Autocracy
199,Azerbaijan,West Asia,2012,AZE,2.067630053,Electoral Autocracy
200,Azerbaijan,West Asia,2013,AZE,2.442130089,Electoral Autocracy
201,Azerbaijan,West Asia,2014,AZE,2.633039951,Electoral Autocracy
202,Azerbaijan,West Asia,2015,AZE,2.951679945,Electoral Autocracy
203,Azerbaijan,West Asia,2016,AZE,2.903409958,Electoral Autocracy
204,Azerbaijan,West Asia,2017,AZE,2.473819971,Electoral Autocracy
205,Azerbaijan,West Asia,2018,AZE,2.455430031,Electoral Autocracy
206,Bahrain,The Middle East,2006,BHR,2.874409914,Closed Autocracy
207,Bahrain,The Middle East,2007,BHR,2.575000048,Closed Autocracy
208,Bahrain,The Middle East,2008,BHR,2.496779919,Closed Autocracy
209,Bahrain,The Middle East,2012,BHR,2.645309925,Closed Autocracy
210,Bahrain,The Middle East,2013,BHR,2.476890087,Closed Autocracy
211,Bahrain,The Middle East,2014,BHR,2.467459917,Closed Autocracy
212,Bahrain,The Middle East,2015,BHR,2.668080091,Closed Autocracy
213,Bahrain,The Middle East,2017,BHR,2.327810049,Closed Autocracy
217,Bangladesh,South Asia,1982,BGD,1.011639953,Closed Autocracy
218,Bangladesh,South Asia,1983,BGD,1.032670021,Closed Autocracy
219,Bangladesh,South Asia,1984,BGD,1.223029971,Closed Autocracy
220,Bangladesh,South Asia,1985,BGD,1.271180034,Closed Autocracy
235,Bangladesh,South Asia,2007,BGD,2.202219963,Closed Autocracy
214,Bangladesh,South Asia,1979,BGD,1.130929947,Electoral Autocracy
215,Bangladesh,South Asia,1980,BGD,0.9376000166,Electoral Autocracy
216,Bangladesh,South Asia,1981,BGD,1.071499944,Electoral Autocracy
221,Bangladesh,South Asia,1986,BGD,1.343490005,Electoral Autocracy
222,Bangladesh,South Asia,1987,BGD,1.513640046,Electoral Autocracy
223,Bangladesh,South Asia,1990,BGD,1.519119978,Electoral Autocracy
224,Bangladesh,South Asia,1991,BGD,1.425660014,Electoral Autocracy
231,Bangladesh,South Asia,2002,BGD,2.017149925,Electoral Autocracy
232,Bangladesh,South Asia,2003,BGD,2.069390059,Electoral Autocracy
233,Bangladesh,South Asia,2004,BGD,1.940140009,Electoral Autocracy
234,Bangladesh,South Asia,2006,BGD,2.131289959,Electoral Autocracy
236,Bangladesh,South Asia,2008,BGD,2.05456996,Electoral Autocracy
237,Bangladesh,South Asia,2009,BGD,1.939419985,Electoral Autocracy
238,Bangladesh,South Asia,2011,BGD,2.132699966,Electoral Autocracy
239,Bangladesh,South Asia,2012,BGD,2.175499916,Electoral Autocracy
240,Bangladesh,South Asia,2013,BGD,1.966160059,Electoral Autocracy
241,Bangladesh,South Asia,2016,BGD,1.535539985,Electoral Autocracy
242,Bangladesh,South Asia,2019,BGD,1.326320052,Electoral Autocracy
225,Bangladesh,South Asia,1992,BGD,1.631770015,Electoral Democracy
226,Bangladesh,South Asia,1993,BGD,1.692620039,Electoral Democracy
227,Bangladesh,South Asia,1997,BGD,1.952469945,Electoral Democracy
228,Bangladesh,South Asia,1999,BGD,2.132819891,Electoral Democracy
229,Bangladesh,South Asia,2000,BGD,2.125080109,Electoral Democracy
230,Bangladesh,South Asia,2001,BGD,2.171930075,Electoral Democracy
322,Bhutan,South Asia,2000,BTN,5.513790131,Closed Autocracy
323,Bhutan,South Asia,2001,BTN,5.91573,Closed Autocracy
324,Bhutan,South Asia,2004,BTN,6.609069824,Closed Autocracy
325,Bhutan,South Asia,2005,BTN,7.287149906,Closed Autocracy
326,Bhutan,South Asia,2008,BTN,4.911590099,Electoral Autocracy
327,Bhutan,South Asia,2009,BTN,4.741740227,Electoral Democracy
328,Bhutan,South Asia,2010,BTN,4.12473011,Electoral Democracy
329,Bhutan,South Asia,2011,BTN,4.765230179,Electoral Democracy
330,Bhutan,South Asia,2013,BTN,5.722750187,Electoral Democracy
331,Bhutan,South Asia,2014,BTN,6.04489994,Electoral Democracy
332,Bhutan,South Asia,2015,BTN,7.590099812,Electoral Democracy
333,Bhutan,South Asia,2016,BTN,6.993330002,Electoral Democracy
334,Bhutan,South Asia,2017,BTN,7.225739956,Electoral Democracy
335,Bhutan,South Asia,2018,BTN,6.850840092,Electoral Democracy
443,Cambodia,Southeast Asia,1998,KHM,1.259070039,Electoral Autocracy
444,Cambodia,Southeast Asia,2000,KHM,1.655990005,Electoral Autocracy
445,Cambodia,Southeast Asia,2001,KHM,1.722219944,Electoral Autocracy
446,Cambodia,Southeast Asia,2002,KHM,1.711210012,Electoral Autocracy
447,Cambodia,Southeast Asia,2004,KHM,1.719820023,Electoral Autocracy
448,Cambodia,Southeast Asia,2007,KHM,1.599300027,Electoral Autocracy
449,Cambodia,Southeast Asia,2009,KHM,1.665680051,Electoral Autocracy
450,Cambodia,Southeast Asia,2010,KHM,1.533789992,Electoral Autocracy
451,Cambodia,Southeast Asia,2011,KHM,1.510689974,Electoral Autocracy
452,Cambodia,Southeast Asia,2012,KHM,1.560899973,Electoral Autocracy
453,Cambodia,Southeast Asia,2013,KHM,2.05053997,Electoral Autocracy
454,Cambodia,Southeast Asia,2014,KHM,1.909389973,Electoral Autocracy
455,Cambodia,Southeast Asia,2018,KHM,2.162859917,Electoral Autocracy
598,China,East Asia,1971,CHN,1.388739944,Closed Autocracy
599,China,East Asia,1972,CHN,1.604760051,Closed Autocracy
600,China,East Asia,1973,CHN,1.650820017,Closed Autocracy
601,China,East Asia,1974,CHN,1.761150002,Closed Autocracy
602,China,East Asia,1975,CHN,1.708500028,Closed Autocracy
603,China,East Asia,1976,CHN,1.816570044,Closed Autocracy
604,China,East Asia,1977,CHN,1.749539971,Closed Autocracy
605,China,East Asia,1978,CHN,1.958840013,Closed Autocracy
606,China,East Asia,1979,CHN,2.14805007,Closed Autocracy
607,China,East Asia,1980,CHN,1.911900043,Closed Autocracy
608,China,East Asia,1981,CHN,1.948809981,Closed Autocracy
609,China,East Asia,1982,CHN,2.034480095,Closed Autocracy
610,China,East Asia,1983,CHN,2.076920033,Closed Autocracy
611,China,East Asia,1984,CHN,1.998630047,Closed Autocracy
612,China,East Asia,1985,CHN,2.008140087,Closed Autocracy
613,China,East Asia,1986,CHN,2.061549902,Closed Autocracy
614,China,East Asia,1987,CHN,1.804250002,Closed Autocracy
615,China,East Asia,1988,CHN,1.764179945,Closed Autocracy
616,China,East Asia,1992,CHN,1.65455997,Closed Autocracy
617,China,East Asia,1993,CHN,1.657850027,Closed Autocracy
618,China,East Asia,1994,CHN,1.985710025,Closed Autocracy
619,China,East Asia,1995,CHN,1.841920018,Closed Autocracy
620,China,East Asia,1996,CHN,1.853389978,Closed Autocracy
621,China,East Asia,1998,CHN,1.844329953,Closed Autocracy
622,China,East Asia,1999,CHN,1.888039947,Closed Autocracy
623,China,East Asia,2019,CHN,3.511773702,Closed Autocracy
769,Cyprus,The Middle East,1975,CYP,4.335020065,Electoral Democracy
770,Cyprus,The Middle East,1976,CYP,3.819700003,Electoral Democracy
771,Cyprus,The Middle East,1977,CYP,3.385489941,Electoral Democracy
772,Cyprus,The Middle East,1978,CYP,3.312340021,Electoral Democracy
773,Cyprus,The Middle East,1979,CYP,3.353130102,Electoral Democracy
774,Cyprus,The Middle East,1980,CYP,3.426009893,Electoral Democracy
775,Cyprus,The Middle East,1981,CYP,3.791320086,Electoral Democracy
776,Cyprus,The Middle East,1982,CYP,3.731780052,Electoral Democracy
777,Cyprus,The Middle East,1984,CYP,3.601910114,Electoral Democracy
778,Cyprus,The Middle East,1985,CYP,3.586960077,Electoral Democracy
779,Cyprus,The Middle East,1986,CYP,3.488970041,Electoral Democracy
780,Cyprus,The Middle East,1987,CYP,3.448709965,Electoral Democracy
781,Cyprus,The Middle East,1988,CYP,3.375469923,Electoral Democracy
782,Cyprus,The Middle East,1989,CYP,3.376270056,Electoral Democracy
783,Cyprus,The Middle East,1990,CYP,3.339240074,Electoral Democracy
784,Cyprus,The Middle East,1991,CYP,3.5753901,Electoral Democracy
785,Cyprus,The Middle East,1992,CYP,3.780299902,Electoral Democracy
2409,Nicaragua,Central America,1979,NIC,2.822779894,Closed Autocracy
2410,Nicaragua,Central America,1980,NIC,3.262409925,Closed Autocracy
2411,Nicaragua,Central America,1982,NIC,3.792680025,Closed Autocracy
2412,Nicaragua,Central America,1984,NIC,5.978899956,Closed Autocracy
21,Albania,South Europe,1998,ALB,3.536979914,Electoral Autocracy
22,Albania,South Europe,1999,ALB,3.592930079,Electoral Autocracy
786,Cyprus,The Middle East,1993,CYP,4.09555006,Electoral Democracy
787,Cyprus,The Middle East,1994,CYP,4.159969807,Electoral Democracy
788,Cyprus,The Middle East,1995,CYP,3.741230011,Electoral Democracy
789,Cyprus,The Middle East,1999,CYP,4.772079945,Electoral Democracy
790,Cyprus,The Middle East,2000,CYP,4.9895401,Electoral Democracy
791,Cyprus,The Middle East,2001,CYP,5.11552,Electoral Democracy
792,Cyprus,The Middle East,2002,CYP,5.581669807,Electoral Democracy
793,Cyprus,The Middle East,2003,CYP,6.670229912,Electoral Democracy
794,Cyprus,The Middle East,2004,CYP,6.117720127,Liberal Democracy
795,Cyprus,The Middle East,2005,CYP,6.286670208,Liberal Democracy
796,Cyprus,The Middle East,2006,CYP,6.330269814,Liberal Democracy
797,Cyprus,The Middle East,2007,CYP,6.280829906,Liberal Democracy
798,Cyprus,The Middle East,2008,CYP,6.722760201,Liberal Democracy
799,Cyprus,The Middle East,2009,CYP,7.205450058,Liberal Democracy
800,Cyprus,The Middle East,2010,CYP,6.54279995,Liberal Democracy
801,Cyprus,The Middle East,2011,CYP,6.538539886,Liberal Democracy
802,Cyprus,The Middle East,2013,CYP,6.483779907,Liberal Democracy
803,Cyprus,The Middle East,2014,CYP,6.448500156,Liberal Democracy
804,Cyprus,The Middle East,2015,CYP,6.346360207,Liberal Democracy
805,Cyprus,The Middle East,2016,CYP,6.163799763,Liberal Democracy
806,Cyprus,The Middle East,2017,CYP,5.777190208,Liberal Democracy
929,Egypt,The Middle East,1971,EGY,4.529920101,Closed Autocracy
930,Egypt,The Middle East,1972,EGY,4.537899971,Closed Autocracy
931,Egypt,The Middle East,1974,EGY,5.226669788,Closed Autocracy
932,Egypt,The Middle East,1975,EGY,4.892429829,Closed Autocracy
942,Egypt,The Middle East,1993,EGY,4.197700024,Closed Autocracy
943,Egypt,The Middle East,1994,EGY,4.583759785,Closed Autocracy
944,Egypt,The Middle East,1995,EGY,4.604000092,Closed Autocracy
945,Egypt,The Middle East,1996,EGY,4.671569824,Closed Autocracy
933,Egypt,The Middle East,1976,EGY,4.943429947,Electoral Autocracy
934,Egypt,The Middle East,1977,EGY,4.549580097,Electoral Autocracy
935,Egypt,The Middle East,1978,EGY,4.941120148,Electoral Autocracy
936,Egypt,The Middle East,1980,EGY,4.280320168,Electoral Autocracy
937,Egypt,The Middle East,1982,EGY,5.608300209,Electoral Autocracy
938,Egypt,The Middle East,1983,EGY,5.221489906,Electoral Autocracy
939,Egypt,The Middle East,1988,EGY,4.525219917,Electoral Autocracy
940,Egypt,The Middle East,1989,EGY,4.600059986,Electoral Autocracy
941,Egypt,The Middle East,1992,EGY,4.050670147,Electoral Autocracy
2569,Panama,Central America,1970,PAN,4.043280125,Closed Autocracy
2570,Panama,Central America,1971,PAN,3.353919983,Closed Autocracy
2571,Panama,Central America,1972,PAN,3.982820034,Closed Autocracy
2572,Panama,Central America,1973,PAN,3.48574996,Closed Autocracy
2573,Panama,Central America,1974,PAN,3.8197999,Closed Autocracy
2574,Panama,Central America,1975,PAN,4.154510021,Closed Autocracy
2575,Panama,Central America,1976,PAN,4.312729836,Closed Autocracy
2576,Panama,Central America,1977,PAN,4.280960083,Closed Autocracy
2577,Panama,Central America,1978,PAN,3.605979919,Closed Autocracy
2578,Panama,Central America,1979,PAN,3.642549992,Closed Autocracy
2579,Panama,Central America,1980,PAN,3.535670042,Closed Autocracy
2580,Panama,Central America,1981,PAN,3.431799889,Closed Autocracy
2581,Panama,Central America,1982,PAN,3.41850996,Closed Autocracy
2582,Panama,Central America,1983,PAN,3.550909996,Closed Autocracy
2583,Panama,Central America,1984,PAN,3.468709946,Closed Autocracy
2584,Panama,Central America,1985,PAN,3.521460056,Closed Autocracy
2585,Panama,Central America,1986,PAN,3.34574008,Closed Autocracy
2586,Panama,Central America,1987,PAN,3.870120049,Closed Autocracy
2619,Peru,South America,1973,PER,3.391720057,Closed Autocracy
946,Egypt,The Middle East,2003,EGY,4.945630074,Electoral Autocracy
947,Egypt,The Middle East,2004,EGY,4.6707201,Electoral Autocracy
23,Albania,South Europe,2000,ALB,3.430170059,Electoral Autocracy
24,Albania,South Europe,2001,ALB,3.458699942,Electoral Autocracy
25,Albania,South Europe,2002,ALB,3.117799997,Electoral Autocracy
948,Egypt,The Middle East,2005,EGY,4.794429779,Electoral Autocracy
949,Egypt,The Middle East,2006,EGY,4.001780033,Electoral Autocracy
950,Egypt,The Middle East,2007,EGY,3.68460989,Electoral Autocracy
951,Egypt,The Middle East,2008,EGY,3.760829926,Electoral Autocracy
1178,Georgia,West Asia,1994,GEO,6.915659904,Electoral Autocracy
1179,Georgia,West Asia,1998,GEO,2.108880043,Electoral Autocracy
1180,Georgia,West Asia,1999,GEO,2.15512991,Electoral Autocracy
1181,Georgia,West Asia,2000,GEO,2.181050062,Electoral Autocracy
1182,Georgia,West Asia,2001,GEO,2.137500048,Electoral Autocracy
1183,Georgia,West Asia,2002,GEO,2.235019922,Electoral Autocracy
1184,Georgia,West Asia,2003,GEO,2.065599918,Electoral Autocracy
1185,Georgia,West Asia,2004,GEO,2.914200068,Electoral Democracy
1186,Georgia,West Asia,2005,GEO,2.484319925,Electoral Democracy
1187,Georgia,West Asia,2006,GEO,3.00364995,Electoral Democracy
1188,Georgia,West Asia,2007,GEO,2.696870089,Electoral Democracy
1189,Georgia,West Asia,2008,GEO,2.919549942,Electoral Democracy
1190,Georgia,West Asia,2009,GEO,3.222379923,Electoral Democracy
1191,Georgia,West Asia,2011,GEO,2.576139927,Electoral Democracy
1192,Georgia,West Asia,2012,GEO,1.906100035,Electoral Democracy
1193,Georgia,West Asia,2016,GEO,3.593869925,Electoral Democracy
1194,Georgia,West Asia,2017,GEO,3.574429989,Electoral Democracy
1195,Georgia,West Asia,2018,GEO,3.52105999,Electoral Democracy
1360,Hong Kong,East Asia,1971,HKG,2.368149996,Closed Autocracy
1361,Hong Kong,East Asia,1972,HKG,2.295609951,Closed Autocracy
1362,Hong Kong,East Asia,1973,HKG,2.183370113,Closed Autocracy
1363,Hong Kong,East Asia,1974,HKG,2.360290051,Closed Autocracy
1364,Hong Kong,East Asia,1975,HKG,2.449199915,Closed Autocracy
1365,Hong Kong,East Asia,1976,HKG,2.4333601,Closed Autocracy
1366,Hong Kong,East Asia,1977,HKG,2.21923995,Closed Autocracy
1367,Hong Kong,East Asia,1978,HKG,2.322550058,Closed Autocracy
1368,Hong Kong,East Asia,1980,HKG,2.192140102,Closed Autocracy
1369,Hong Kong,East Asia,1981,HKG,2.271729946,Closed Autocracy
1370,Hong Kong,East Asia,1982,HKG,1.669829965,Closed Autocracy
1371,Hong Kong,East Asia,1983,HKG,2.57859993,Closed Autocracy
1372,Hong Kong,East Asia,1984,HKG,2.581690073,Closed Autocracy
1373,Hong Kong,East Asia,1985,HKG,2.558969975,Closed Autocracy
1374,Hong Kong,East Asia,1990,HKG,2.466089964,Closed Autocracy
1375,Hong Kong,East Asia,1992,HKG,2.828200102,Closed Autocracy
1376,Hong Kong,East Asia,1996,HKG,2.728310108,Closed Autocracy
1377,Hong Kong,East Asia,2001,HKG,3.903700113,Closed Autocracy
1378,Hong Kong,East Asia,2002,HKG,4.015540123,Closed Autocracy
1379,Hong Kong,East Asia,2003,HKG,4.285299778,Closed Autocracy
1380,Hong Kong,East Asia,2004,HKG,4.558959961,Closed Autocracy
1381,Hong Kong,East Asia,2005,HKG,4.134630203,Closed Autocracy
1382,Hong Kong,East Asia,2006,HKG,3.842789888,Closed Autocracy
26,Albania,South Europe,2003,ALB,3.138240099,Electoral Autocracy
113,Australia,Oceania,1988,AUS,4.918310165,Liberal Democracy
27,Albania,South Europe,2004,ALB,3.227519989,Electoral Autocracy
28,Albania,South Europe,2005,ALB,3.281549931,Electoral Democracy
29,Albania,South Europe,2006,ALB,3.191459894,Electoral Democracy
30,Albania,South Europe,2007,ALB,3.275929928,Electoral Democracy
1383,Hong Kong,East Asia,2007,HKG,3.454550028,Closed Autocracy
1384,Hong Kong,East Asia,2008,HKG,3.260629892,Closed Autocracy
1385,Hong Kong,East Asia,2009,HKG,4.392129898,Closed Autocracy
1386,Hong Kong,East Asia,2010,HKG,3.510030031,Closed Autocracy
1387,Hong Kong,East Asia,2011,HKG,3.418220043,Closed Autocracy
1388,Hong Kong,East Asia,2012,HKG,3.509609938,Closed Autocracy
1389,Hong Kong,East Asia,2013,HKG,3.760319948,Closed Autocracy
1390,Hong Kong,East Asia,2014,HKG,3.572550058,Closed Autocracy
31,Albania,South Europe,2013,ALB,3.539299965,Electoral Democracy
32,Albania,South Europe,2015,ALB,3.437969923,Electoral Democracy
33,Albania,South Europe,2016,ALB,3.962090015,Electoral Democracy
3494,Uruguay,South America,1979,URY,1.987130046,Closed Autocracy
3495,Uruguay,South America,1980,URY,2.159509897,Closed Autocracy
3496,Uruguay,South America,1984,URY,2.373389959,Closed Autocracy
1391,Hong Kong,East Asia,2015,HKG,3.262120008,Closed Autocracy
1392,Hong Kong,East Asia,2016,HKG,3.292649984,Closed Autocracy
1393,Hong Kong,East Asia,2017,HKG,3.310100079,Closed Autocracy
1394,Hong Kong,East Asia,2018,HKG,3.326519966,Closed Autocracy
1395,Hong Kong,East Asia,2019,HKG,3.810580015,Closed Autocracy
1447,India,South Asia,1997,IND,3.361360073,Electoral Democracy
1448,India,South Asia,1998,IND,3.572560072,Electoral Democracy
1449,India,South Asia,1999,IND,4.415390015,Electoral Democracy
1450,India,South Asia,2000,IND,4.324790001,Electoral Democracy
35,Algeria,North Africa,1979,DZA,7.182010174,Closed Autocracy
36,Algeria,North Africa,1980,DZA,6.597420216,Closed Autocracy
38,Angola,Southern Africa,1985,AGO,4.090219975,Closed Autocracy
39,Angola,Southern Africa,1986,AGO,5.722690105,Closed Autocracy
40,Angola,Southern Africa,1987,AGO,5.058509827,Closed Autocracy
41,Angola,Southern Africa,1998,AGO,2.567120075,Closed Autocracy
42,Angola,Southern Africa,2000,AGO,2.607530117,Closed Autocracy
43,Angola,Southern Africa,2005,AGO,2.120110035,Closed Autocracy
44,Angola,Southern Africa,2006,AGO,2.281460047,Closed Autocracy
400,Burkina Faso,West Africa,1978,BFA,1.679829955,Closed Autocracy
401,Burkina Faso,West Africa,1980,BFA,1.961799979,Closed Autocracy
402,Burkina Faso,West Africa,1983,BFA,1.754480004,Closed Autocracy
403,Burkina Faso,West Africa,1985,BFA,1.763960004,Closed Autocracy
404,Burkina Faso,West Africa,1988,BFA,1.426079988,Closed Autocracy
418,Burundi,Central Africa,1979,BDI,2.803359985,Closed Autocracy
419,Burundi,Central Africa,1981,BDI,3.346760035,Closed Autocracy
420,Burundi,Central Africa,1990,BDI,3.359329939,Closed Autocracy
421,Burundi,Central Africa,1991,BDI,3.493659973,Closed Autocracy
422,Burundi,Central Africa,1992,BDI,3.805850029,Closed Autocracy
425,Burundi,Central Africa,1996,BDI,4.083240032,Closed Autocracy
426,Burundi,Central Africa,1999,BDI,3.417449951,Closed Autocracy
427,Burundi,Central Africa,2000,BDI,2.645479918,Closed Autocracy
428,Burundi,Central Africa,2001,BDI,2.903909922,Closed Autocracy
429,Burundi,Central Africa,2002,BDI,3.004930019,Closed Autocracy
430,Burundi,Central Africa,2004,BDI,3.74496007,Closed Autocracy
537,Central African Republic,Central Africa,1978,CAF,3.170530081,Closed Autocracy
538,Central African Republic,Central Africa,1986,CAF,2.207750082,Closed Autocracy
545,Central African Republic,Central Africa,2003,CAF,1.539800048,Closed Autocracy
546,Central African Republic,Central Africa,2004,CAF,1.624529958,Closed Autocracy
659,Congo,Central Africa,1970,COG,5.732299805,Closed Autocracy
660,Congo,Central Africa,1971,COG,5.55095005,Closed Autocracy
661,Congo,Central Africa,1973,COG,5.23845005,Closed Autocracy
662,Congo,Central Africa,1975,COG,7.743020058,Closed Autocracy
663,Congo,Central Africa,1978,COG,8.413310051,Closed Autocracy
664,Congo,Central Africa,1979,COG,7.03813982,Closed Autocracy
